"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"136","Row","(Intercept)",NA,0.00020208374182784,0.0142156161255093,0.00694459914688489,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
"137","Range","(Intercept)",NA,0.000152819458362949,0.012362016759532,0.00525163415213713,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
"138","Flight","(Intercept)",NA,0.02572552140553,0.160391774744,0.884056443086902,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
"139","Rep","(Intercept)",NA,4.32929361388304e-12,2.08069546399348e-06,1.48775989922037e-10,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
"140","Residual",NA,NA,0.0023189820742664,0.048155810389468,0.079691719823317,0.0454810787805341,0.793320401144607,0.920308280176683,"GdR"
"141","Pedigree:Flight","(Intercept)",NA,1.27499061003893e-05,0.00357070106567174,0.0117914768273929,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"142","Pedigree","(Intercept)",NA,1.32747347339063e-05,0.00364345093749132,0.012276853317364,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"143","Row","(Intercept)",NA,6.31496912175408e-06,0.00251296023083416,0.00584026356575216,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"144","Range","(Intercept)",NA,6.85050993507752e-06,0.00261734788193651,0.0063355469851519,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"145","Flight","(Intercept)",NA,0.000936289144967547,0.0305988422161288,0.865906907054573,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"146","Rep","(Intercept)",NA,0,0,0,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"147","Residual",NA,NA,0.000105802264760235,0.0102860227862977,0.0978489522497665,0.00969251038124797,0.717852796656639,0.902151047750234,"GCC"
"148","Pedigree:Flight","(Intercept)",NA,3.85167576756936e-05,0.00620618704807498,0.0198158715739583,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"149","Pedigree","(Intercept)",NA,2.56992663846988e-05,0.00506944438619251,0.0132216051650034,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"150","Row","(Intercept)",NA,7.08785543414965e-06,0.00266230265637655,0.00364651755478696,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"151","Range","(Intercept)",NA,2.39937274917622e-05,0.00489833925854081,0.0123441496961037,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"152","Flight","(Intercept)",NA,0.00165790287504986,0.0407173534877927,0.852947974767264,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"153","Rep","(Intercept)",NA,0,0,0,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"154","Residual",NA,NA,0.000190532223938355,0.0138033410426011,0.0980238812428833,0.0126411032552142,0.724801561608317,0.901976118757117,"MExG"
"155","Pedigree:Flight","(Intercept)",NA,0.000109025532725804,0.0104415292331058,0.00847153186497043,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"156","Pedigree","(Intercept)",NA,0.000146512272533537,0.0121042253999807,0.0113843368094209,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"157","Row","(Intercept)",NA,6.38151422837396e-05,0.0079884380377981,0.00495858169924237,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"158","Range","(Intercept)",NA,5.15879078013219e-05,0.0071824722624819,0.00400849776983131,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"159","Flight","(Intercept)",NA,0.0116873710465847,0.108108145144502,0.908135312559146,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"160","Rep","(Intercept)",NA,1.56906862471245e-07,0.000396114708728727,1.21920200894655e-05,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"161","Residual",NA,NA,0.000811167340087414,0.0284809996328678,0.0630295472772996,0.0266900612110012,0.784425777014685,0.936970452722701,"MGVRI"
"162","Pedigree:Flight","(Intercept)",NA,0.513925980112054,0.716886309056083,0.00844577366149486,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"163","Pedigree","(Intercept)",NA,0.747310132070772,0.864471012857442,0.01228116980783,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"164","Row","(Intercept)",NA,0.330768389446053,0.575124672958875,0.00543579242876463,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"165","Range","(Intercept)",NA,0.261610771630032,0.511479004095018,0.00429926769632179,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"166","Flight","(Intercept)",NA,54.9754872267711,7.41454565207951,0.903457968687387,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"167","Rep","(Intercept)",NA,0.000713525128432343,0.0267118911429412,1.17259527047352e-05,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"168","Residual",NA,NA,4.0202612691331,2.00505891911761,0.0660683017654974,1.88344403124956,0.789759053087647,0.933931698234503,"NDI"
"169","Pedigree:Flight","(Intercept)",NA,0.000118345005493769,0.0108786490656593,0.0381013767026447,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"170","Pedigree","(Intercept)",NA,3.52360043231313e-05,0.00593599227788676,0.0113442917900099,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"171","Row","(Intercept)",NA,2.38903422446239e-05,0.00488777477433483,0.00769153650058725,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"172","Range","(Intercept)",NA,3.41456682403528e-05,0.00584342949305909,0.0109932562253986,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"173","Flight","(Intercept)",NA,0.00180185890427192,0.0424483086149721,0.580111552576621,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"174","Rep","(Intercept)",NA,1.44916114458867e-06,0.00120381109173685,0.000466559906287858,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"175","Residual",NA,NA,0.00109113080347877,0.0330322691239759,0.351291426298451,0.0313377791020031,0.397076926051807,0.648708573701549,"NDRBI"
"176","Pedigree:Flight","(Intercept)",NA,0.000142278998072066,0.0119280760423493,0.0205073901269196,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"177","Pedigree","(Intercept)",NA,7.2498280102749e-05,0.00851459218652009,0.0104495430368768,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"178","Row","(Intercept)",NA,4.32408477908144e-05,0.00657577735258839,0.00623252164466202,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"179","Range","(Intercept)",NA,6.16458844533009e-05,0.00785148931434673,0.00888533247586208,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"180","Flight","(Intercept)",NA,0.00536799307396899,0.0732665890701143,0.773715936000094,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"181","Rep","(Intercept)",NA,1.05012576976966e-06,0.00102475644412205,0.000151359927570549,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"182","Residual",NA,NA,0.00124923063524859,0.0353444569239448,0.180057916788015,0.0334256177860513,0.541392150724599,0.819942083211985,"NGBDI"
"183","Pedigree:Flight","(Intercept)",NA,0.000116151049728999,0.010777339640607,0.0649438508246237,0.0178706152687851,0.47822217656556,0.775990776710931,"RmB"
"184","Pedigree","(Intercept)",NA,1.95544762332787e-05,0.00442204434999002,0.0109335472250204,0.0178706152687851,0.47822217656556,0.775990776710931,"RmB"
"185","Row","(Intercept)",NA,7.97330241033638e-06,0.00282370366900218,0.0044581341582763,0.0178706152687851,0.47822217656556,0.775990776710931,"RmB"
"186","Range","(Intercept)",NA,1.25881168249521e-05,0.00354797362235855,0.00703842783298167,0.0178706152687851,0.47822217656556,0.775990776710931,"RmB"
